"Nutrition, B.S. - Dietetics Subplan/Option: 120 units"
AG 4010
BIO 1150
BIO 1150L
BIO 2060
BIO 2060L
BIO 2350
BIO 2350L
BIO 3000
CHM 1210
CHM 1210L
CHM 1220
CHM 1220L
CHM 2010
COM 2204
ENG 1103
ENG 2105
FST 3210
FST 3210L
FST 3250
NTR 1000
NTR 1210
NTR 1210L
NTR 2180
NTR 2180S
NTR 2350
NTR 2350L
NTR 3130
NTR 3280
NTR 3350
NTR 3450
NTR 3450S
NTR 3450A
NTR 3450AS
PSY 2201
STA 1200
ABM 2240
CHM 3210
NTR 3280L
NTR 3670
NTR 3670L
NTR 3680
NTR 3680L
NTR 3930
NTR 3940
NTR 4260
NTR 4430
NTR 4430L
NTR 4440
NTR 4460
NTR 4460S
NTR 4460A
NTR 4460AS
CPU 3003
