"Apparel Merchandising and Management, B.S. - Textiles Subplan/Option: 120 units"
ABM 2240
ACC 2070
AG 4010
AMM 1010
AMM 1080
AMM 1200
AMM 2450
AMM 1120
AMM 1120L
AMM 1480
AMM 1600
AMM 1600L
AMM 2200
AMM 2500
AMM 2510A
AMM 2600
AMM 2600L
AMM 2800
AMM 2800L
AMM 3100
AMM 3100A
AMM 3410
AMM 3550
TOM 3020
AMM 3600
AMM 3600L
AMM 3810
AMM 3810L
AMM 4570
AMM 4420
AMM 4630
AMM 4630A
CHM 1010
CHM 1010L
CHM 1210
CHM 1210L
PHY 1020
STA 1200
AMM 2140
AMM 2140L
AMM 2150
AMM 2150A
AMM 3120A
AMM 3300
AMM 4530
AMM 4600
AMM 4600L
AMM 4680
AMM 4680L
CPU 3003
